ID,fL,fG,
9fa2d416-3c98-481e-9f25-608316e9aa27_lvl54,0.7340966290706344,-8.89170396216029,
a107d2f0-b4b0-4782-8416-1d1219f13fc5_lvl142,0.7114343039376347,-23.21724591371216,
a107d2f0-b4b0-4782-8416-1d1219f13fc5_lvl45,0.8269380244777719,-10.570080700583013,
a107d2f0-b4b0-4782-8416-1d1219f13fc5_lvl67,0.8016600789707266,-6.988601098705653,
a107d2f0-b4b0-4782-8416-1d1219f13fc5_lvl83,0.7691741096431005,-7.518087471410525,
a11999eb-48ab-4655-b2e7-a102e7210111_lvl145,0.6816876427227992,-6.561565945850896,
a11999eb-48ab-4655-b2e7-a102e7210111_lvl31,0.8238163126449447,-3.8995989219238307,
a11999eb-48ab-4655-b2e7-a102e7210111_lvl53,0.8239393304021476,-0.7271928543298115,
a11999eb-48ab-4655-b2e7-a102e7210111_lvl70,0.7861384433913666,-8.35377575408285,
a26fa938-16d9-4751-9d7b-542fb44a0ee8_lvl118,0.49987545718994025,-47.78623077775681,
a26fa938-16d9-4751-9d7b-542fb44a0ee8_lvl125,0.7158016437626237,-15.042825898513113,
a26fa938-16d9-4751-9d7b-542fb44a0ee8_lvl17,0.8329755532246942,-1.7756250505145301,
